Strain,Type,Rating,Effects,Flavor,Description,labels
Afrikaner,sativa,0,,,Afrikaner by Cannabaal and master grower Waldo Botha is a pure South African landrace strain This tall strain produces high levels of THCV alongside a healthy 20 THC content It has an earthy hemp aroma but the flavor is a sweet picante weed stench or so says the producer A pure sativa Afrikaner energizes the body with a euphoric lust for life while keeping the mind fairly clear Utilize this strain in the proper dosage to harness the physical stimulation and mood elevation for productive means ,0
AirJordanOg,indica,4,HappyRelaxedEuphoricSleepyTingly,DieselPineSpicyHerbal,Air Jordan OG grown exclusively by Good as Gold in California is a pure indica strain that packs a punch Dont let the name fool you Air Jordan OGs potent sedating effects will have you melting deep into the couch priming you for a nap or good nights sleep This strain delivers its sleepy relaxing effects with sharp aromas of wood and fresh pine ,1
Alaska,sativa,4,RelaxedSleepyEuphoricFocusedHappy,EarthyWoodyPine,Alaska developed by Tikun Olam is an Israeli strain comprised of 70sativa genetics With uplifting effects intended for daytime consumption Alaska has been found to successfully treat an array of medical symptoms including inflammation pain nausea insomnia and gastrointestinal disorders,0
AlaskanIce,sativa,4,EuphoricUpliftedHappyRelaxedEnergetic,SweetEarthySpicyHerbal,Alaskan Ice by Green House Seeds is a powerful sativa that crosses a euphoric White Widow hybrid with the energizing buzz of Haze Frostlike resin blankets the buds in a promise of soaring psychoactivity anchored only by its moderate CBD content The intensity of this 70 sativa strain is recommended for evening consumption and unproductive weekends Alaskan Ice is a slight variant of Moby Dick but poses a greater challenge to growers cultivators with the expertise to raise Alaskan Ice will be rewarded with a highly potent harvest of sour spicy buds following a 9 week flowering period The high resin content of Alaskan Ice has made this strain a favorite among hash producers and patients with severe symptoms,0
AlaskanThunderFuck,sativa,4,HappyEuphoricRelaxedUpliftedEnergetic,EarthyWoodyPine,Alaskan Thunder Fuck also referred to as ATF Matanuska Thunder Fuck or Matanuska Tundra is a legendary sativadominant strain originating in the Matanuska Valley area of Alaska According to the legend it was originally a Northern California sativa crossed with a Russian ruderalis but sometime in the late 70s it was crossed with Afghani genetics to make it heartier ATF usually presents large beautifully frosted buds with incredibly strong odors of pine lemon menthol and skunk Known for possessing a relaxing yet intensely euphoric high it is also described as having a creeper effect as well as pronounced appetite enhancement,0
AliceInWonderland,sativa,4,FocusedEuphoricHappyUpliftedRelaxed,PineMintSweet,Alice in Wonderland is a mostly sativa strain with euphoric cerebral effects It provides an elevated sensory experience making it a favorite strain for creative pastimes outdoor activities a laidback weekend or daytime stress relief Said to be a descendant of Willys Wonder Alice in Wonderland has many therapeutic qualities especially for those suffering from anxiety or depression,0
AlienBubba,indica,5,RelaxedSleepyEuphoricHappyUplifted,EarthyWoodySweet,Alien Bubba is the intergalactic cross of the renowned Bubba Kush and the heady space invader Alien Kush This twofold Kush blend offers mellow sedation with a mental aura most would describe as introspective or meditative Its bouquet is earthy and floral and when combusted Alien Bubba shows off a pungent tea and herbaceous grassiness that is smooth on the exhale Enjoy this heady heavyhitter close to the end of the day to maximize its sedative effects ,1
AlienDawg,indica,4,RelaxedSleepyHappyEuphoricUplifted,EarthyPungentWoody,Descendingfrom Northern California and Afghanistan genetics Alien Dawg is a cross betweenChemdawg and Alien Technology with a THC content of up to 20 With a sour and pungent odor Alien Dawg has a light bitter taste andpresents brilliant mind and body effects,1
AlienDutchess,sativa,4,EuphoricRelaxedUpliftedFocusedHappy,SweetBerryBlueberry,Alien Dutchess by Cresco Labs brings together strong euphoria and deep relaxation to create a strain that is as potent as it is refined Created by crossing Dutch Treat Haze and Alien OG this strain exhibits a spicy herbaceous aroma with hints of pine and lemon The earthy and citrus notes shine through upon consumption Alien Dutchess has been known to stimulate appetite and help abate nausea headaches and stress,0
AlienKush,indica,4,RelaxedEuphoricHappyTinglyUplifted,EarthyWoodyFlowery,Alien Kush is a potent cross of LVPK and Alien Dawg that originally hails from California not deep space It may have you feeling a little spacey though as this mostly indica hybrid touches down in the brain first giving active sometimespsychedelic effects that are more traditionally sativa The active buzz settles over time into a relaxing body buzz that will dissolve both stress and pain Alien Kush plants have average yields but they are hardy easytogrow plants indoors or out The light green buds have a covering of red or orange hairs and should be airy This strain has a piney smell but the taste is a subtle spiciness that is reminiscent of tea,1
AlienRift,indica,4,RelaxedHappyEuphoricUpliftedHungry,GrapeEarthyChemical,Alien Rift by Ocean Grown Seeds is the thoroughly enhanced phenotype of Alien Abduction specifically backcrossed for better hash production With a tart scent of lemon and spice and buds dense with trichomes Alien Rift is certain to please the senses This strain is the product of crossing Alien Abduction Alien Dawg Ether cut and Alien OG With that much extraterrestrial activity you know this indica is out of this world Use Alien Rifts laidback effects to curb stress and moderate physical pain,1
AlienStardawg,sativa,4,UpliftedHappyEuphoricCreativeTingly,DieselSpicyHerbalSage,Alien Stardawg is a sativadominant hybrid cross of Alien Kush and Stardawg bred by Green Beanz Seeds Stretchy plants produce large yields of frosty green red blue and purple colored buds with pleasing cherry hash and chemfuel flavors and a potent wellrounded high ,0
AlienTechnology,indica,4,HappyRelaxedUpliftedEuphoricFocused,EarthySpicyHerbalWoody,Very little is known about Alien Technology other than it is a landrace strain selected from a handful of seeds acquired by breeder OBSoul33t from a US soldier returning from Afghanistan It is a pure indica that features light green buds incredible trichome production and a spicy hashy flavoraroma with fuel undertones Reports indicate that the high is more stimulating than your typical indica while lasting as long as 6 hours Alien Technology has been used in breeding some of todays most potent hybrids such as Alien Dawg and Alien Kush,1
AliensOnMoonshine,indica,4,RelaxedHappyTalkativeUpliftedGiggly,CitrusSageGrapefruit,Aliens On Moonshine by Sin City Seeds is a potent CBDrichphenotype of The Cali Connections Sour Alien crossed with White Moonshine This indicadominant strain emits a funky aroma that is a clashing of sour sweet and chemicals The 51 CBDTHC ratio gives Aliens On Moonshine potent medicinal properties while remaining mostly functional Its effects land firmly in the body and can assist with inflammation irritability and minor physical discomfort The uplifting clearheaded buzz and soothing physical effects make Aliens On Moonshine an excellent addin or standalone strain for CBD lovers everywhere  ,1
AllenIversonOg,indica,5,UpliftedEuphoricHappyRelaxed,,Allen Iverson OG is a heavy indica strain grown exclusively by Californias Good as Gold Designed for consumers with a stubbornly high tolerance to THC this potent indica delivers a powerfully euphoric experience that tranquilizes the body while launching your mind to the cosmos Sweet pine and wood flavors intermix with aromas of sour fuel offering a complex profile for consumers who cherish flavor as much as potency,1
AllenWrench,sativa,4,HappyUpliftedFocusedEnergeticHungry,CitrusEarthyPungent,A popular strain for sativalovers Allen Wrench presents the best qualities of its parents Trainwreck and NYCDiesel with crisp flavors of sour fruit Its aroma has been characterized as sourand flowery leaving a lingering scent of fruitAllen Wrench is known to provide users with a longlasting cerebral high and fill an entire room with its strong essence The buds have a darkgreen color and dark foliage with orange pistils growing out Allen Wrench also has a1011 weekflowering time and medium to mediumhigh THC content,0
Allkush,indica,5,RelaxedSleepyUpliftedHappy,SpicyHerbalHoneyEarthy,Allkush 2nd prize winner at the 2005 Highlife Cannabis Cup is a hashy Kush blend bred by Paradise Seeds of Amsterdam This resinous flower hails from the Hippie Trail that winds through Pakistan and Afghanistan creating a 7525indicadominant strain that soothes without binding the consumer to the couch With traditional uplifting cerebral elements and a pleasant sedation on the body Allkush shines on patients seeking relief from sleep disorders anxiety and depression,1
Aloha,sativa,4,EnergeticUpliftedHappyCreativeFocused,TropicalSweetCitrus,Aloha is a sativa strain that leaves users with an upbeat energetic buzz and may also be helpful in treating pain such as migraines Alohas flowers will be large and fluffy with plenty of room for white wispy hairs and sparkling crystals The aroma of this strain is that of grass and citrus for a fresh experience that may have you thinking of your next island getaway Its sativa effects can be a little much for some users so those who are looking for less mental stimulation should be warned,0
AlphaBlue,sativa,4,EnergeticHappyEuphoricRelaxedTalkative,EarthyBlueberrySweet,Alpha Blue also known as Dream Diesel or DD is a highflying sativa that combines Blue Dream and NYCDiesel In 2011 this compelling blend claimed two 2nd place prizes for a sativa at the High Times Medical Cup in Denver and San Francisco Its buds are glazed with sugary trichomes and take on hues of deep red and violet The aroma is a combination of tart blueberry and sour candy that create a pungent mixture of earthy berry and Haze upon exhale The sweet fragrance of Alpha Blue brings with it uplifting effects that produce a calming relaxed mood without putting you to sleep The cerebral and happy buzz is a great tool when coping with stress and anxiety,0
AlphaCow,sativa,5,,,Alpha Cow is a sativa strain that brings together genetics from Alpha Blue and Purple Cow Its aroma is a distinctive mix of overripe blueberries and sweet toffee while the exhale accentuates its smooth berry flavors Some sativas tend to bring on racing thoughts but this strain provides a calming buzz with mellow cerebral sensations that keep you feeling uplifted and positive,0
AlphaExpress,sativa,4,EnergeticFocusedTalkativeHappyRelaxed,DieselEarthySpicyHerbal,Alpha Express is an introspective sativa strain that descends from Alpha Blue and Ghost Train Haze With a complex flavor that spans sour juniper and musky cedar notes Alpha Express delivers spacey cerebral effects perfect for meditative or creative activities Its buds bloom with trichomecovered calyxes that carry a red tint as the flowers mature,0
AlpineStar,indica,4,RelaxedUpliftedHappyEuphoricTingly,PineCitrusEarthy,Alpine Star often labeled as Alpine OG is an earthy citrus mix of Tahoe OG and Sensi Star genetics Zesty lemon flavors lead Alpine Stars wave of relaxing indica effects The pain relieving properties of Alpine Star radiate from the head and neck calming anxieties and muscle tension as the effects descend to the lower extremities,1
AmericanKush,indica,4,RelaxedTinglySleepyUpliftedHappy,SweetLemonLime,American Kush by Alphakronik Genes AKG is a 7030 indicadominant combination of Pre98 Bubba Kush and Sin City KushIt is a robust strain with large bulbous colas that deliver the profound relaxing body effects that have made Kush strains so popular With a smooth palate of flavors ranging from fresh lemon to spicy notes of lavender and coffee American Kush is a delightful answer to muscle spasms chronic pain and nausea,1
Americano,indica,4,RelaxedCreativeFocusedEuphoricAroused,EarthySpicyHerbalTobacco,Americano is a Canadian strain released by Enterprise Seeds It is a Northern LightsSkunk hybrid that is named for the American consumers it was designed to attract When tourists notably Americans came to Vancouver looking to purchase bulk cannabis they wanted their buds to have bag appealor stunning visual characteristics that made it easy to sell Americano is known for its heavy coat of trichromes and its thick dense colas The flavors and aromas of Americano stay true to its Skunk lineage and produce a sweet piney musk The effects are exactly what you would expect from an indicadriven hybrid fastacting relaxing and sleepy Americano is a solid answer to symptoms of insomnia headaches and chronic pain,1
Amnesia,sativa,4,HappyEuphoricEnergeticCreativeUplifted,EarthySweetSkunk,Amnesia is typically a sativadominant cannabis strain with some variation between breeders Skunk Cinderella 99 and Jack Herer are some of Amnesias genetic forerunners passing on uplifting creative and euphoric effects ideal for treating mood disorders Growers should expect a 910 week flowering period with moderate yields This strain normally has a high THC and low CBD profile and produces intense psychotropic effects that new consumers should be wary of,0
AmnesiaGanjaHaze,sativa,5,,,Amnesia Ganja Haze is another awardwinning strain from Sumo Seeds Thesativa is a genetic combination of the famous Amnesia Haze a classic out of Amsterdam and Silver Buddha Haze This new twist on an old favorite garnered Sumo Seeds a 1st place win at the 2017 Semana y Copa Cannabica for Best Sativa 1st prize for Best Indoor and Premio Especial Del Publico Best Overall at the 2017 Il Castello Cannabis Cup as well as 2nd place at the 2017 San Canuto Cup on the island of Fuerteventura Exhibiting a strong Haze aroma of sour citrus and spiced tropical fruit Amnesia Ganja Haze delivers a THC and terpeneheavy profile This strains cerebral effects make it enjoyable for use throughout the day   ,0
AmnesiaHaze,sativa,4,HappyEuphoricUpliftedEnergeticCreative,EarthyCitrusLemon,With earthy flavors of lemons and citrus Amnesia Haze is a perfect strain to start your day with a smile The uplifting energetic buzz is one you wont soon forget Its genetics have been traced back to the South Asian and Jamaican landrace strains and this Cannabis Cup winner 1st place 2004 1st place Sativa Cup 2012 has since been popularized in the coffee shops of Amsterdam,0
AncientKush,indica,4,SleepyRelaxedArousedCreativeEnergetic,SkunkCheeseMint,Ancient Kush is an indicadominant hybrid strain whose genetic background is lost to history but most certainly contains the ageold characteristics of Afghani indicas Its short bushy plants bloom with resinous buds that tend to darken purple near the end of maturation Skunky lemon and smooth earthiness make up this indicas aroma in a fragrant introduction of her relaxing moodwarming effects,1
AncientOg,indica,4,RelaxedEuphoricSleepyHappyHungry,EarthyFloweryNutty,Ancient OG from Bodhi Seeds is a mostly indica strain descended from an Iranian landrace and Snow Lotus Its thickly resinous buds exude aromatic notes of earthy pine and sweet citrus that are fully realized in Ancient OGs taste This highyielding indica is best suited for sea of green gardens and has a 70 day flowering time Outdoor cultivators should prepare for harvest in the month of October,1
Anesthesia,indica,4,HungrySleepyRelaxedHappyEuphoric,EarthyPungentSweet,Anesthesia is the result of breeding the popular old school AfghanSkunk indica with Herojuana It was created in 2007 by breeder Whazzup in an effort to keep the Afghani Skunk strain going as it had long been only available as a cutting from another plant Anesthesia was selected as a Breeders Choice Selection by Dutch seed company Sannies Seeds which has helped to spread its popularity and availability When grown these plants branch quite a bit and may grow wider and closer to the ground rather than tall before flowering at 910 weeks Anesthesia flowers are dense and covered in crystals They have a musky earthy smell and flavor that is common in its Afghan heritage Known for its strong sedative indica buzz this is a strain thats often recommended for painjust as its name would suggest,1
AngelOg,indica,5,HappyRelaxedUpliftedSleepyEuphoric,PungentEarthyBerry,Angel OG is a fruity Kush cross that drapes the body in mellow effects from head to toe This strains OG Kush x Blackberry lineage gives the buds an aroma of earth pine and sweetness while supplying the consumer with potent physical effects The strong relaxing properties of Angel OG are ideal for patients suffering from chronic physical pain insomnia and stress,1
AnonymousOg,indica,5,RelaxedSleepyHappyEuphoricHungry,EarthyFloweryCoffee,The 3C Anonymous OG greets the nose with distinctive woodsy citrus diesel scent that indica connoisseurs all know and love Anonymous OG is a 3C Farms select cut of 3C Kushishima Its round dense buds are wrapped in deep green calyxes that drip with resin and glitter with trichomes The flavor is deep satisfying the most refined palate This strain is incredibly relaxing and sedative and should be consumedin the evening for best results,1
Anubis,indica,5,RelaxedSleepyCreativeFocusedAroused,GrapeLimeEarthy,Anubis by Pyramid Seeds is the indicadominant cross of Somango and Wembley This strain has been known to produce THC levels around 18 with touches of CBD and CBN that make this strain relaxing without being overly sedating Anubis has a sweet aroma and a flavor some might describe as grapefruit or citrus peel as well as calming physical effects that creep across the limbs While growing this plant remains short and squat making it ideal for indoor or lowprofile growers This indica has a 56 to 63 day flowering time,1
AppalachianPower,sativa,4,EuphoricCreativeFocusedTalkativeUplifted,TropicalGrapeSweet,Appalachian Power by Soulshine Cannabis is a potent sativadominant strain with a rich genetic lineage By crossing The Appalachian Grape Punch x Life Saver with The Power Island Sweet Skunk x White Widow Appalachian Power was born With a deep roster of genetic varieties at its back its no surprise that Appalachian Powers aroma and flavor offer a unique and rewarding palate of grape banana and pineapple The effects pack a stimulating kick that is not for the faint of heart It can cause mild paranoia in the uninitiated but if the dosage is respected this strain can suit all manner of physical activity and combat lethargy,0
Appleberry,indica,4,RelaxedHappySleepyHungryEuphoric,BerryAppleSweet,Appleberry by Sumo Seeds in an indicadominant yield machine Bred from Dynamite x Bubblelicious x White Widow this strain has classic Central Asian and Central American roots while expressing a terpene profile all its own The strains aroma exemplifies its title smelling of a subtle apple and berry Its effects are extremely relaxing bordering on sedative imbuing the limbs with a warm weighted aura Utilize Appleberry as an anxiolytic and for allaround pain reliefAppleberry won 1stplace in the Bio category at the 2016 Highlife Cup in Amsterdam,1
